ID;ex_crossref_EN;ex_crossref_EN_edited;ex_crossref_IDN;ex_crossref_IDN_edited
20;G69;;G69;
23;§ 33;;§ 33;
25;§ 2d;;§ 2d;
26;H88:280 èkowèk ijakafita;;H88:280 èkowèk ijakafita;
41;130z26: eokohoe;;130z26: eokohoe;
45;G56;;G56;
55;G9;;G9;
72;90z2;;90z2;
75;see koi²;;lihat koi²;
78;see koi¹;;lihat koi¹;
86;131z15;;131z15;
89;G6;;G6;
91;134z6?;;134z6?;
95;§ 64b;;§ 64b;
116;107z17;;107z17;
117;G62;;G62;
122;G70;;G70;
161;107z14;;107z14;
166;122z32 , 128z17;;122z32, 128z17;122z32 , 128z17
167;§ 44b;;§ 44b;
171;MOD table XV on page 177;;Tabel MOD XV pada halaman 177;MOD tabel XV pada halaman 177
184;G68;;G68;
185;cf. XIIz24-27;;bdk. XIIz24-27;
196;"G36 ; see earapikia";;"G36; lihat earapikia";"G36 ; lihat earapikia"
197;G36;;G36;
199;H16 pikie(j)aq 'beating out garments';;H16 pikie(j)aq 'mengalahkan pakaian';H16 pikie(j)aq 'menggebuk-gebuk/menepuk-nepuk pakaian'
212;"see the comment on ""eʔoboho:iyo""";;"lihat komentar di ""eʔoboho:iyo""";"lihat komentar tentang ""eʔoboho:iyo"""
226;90z29:;90z29: treat;90z29:;90z29: memperlakukan , menangani
260;H16 èpiepie 'horizontal wall boards';;H16 èpiepie 'papan dinding horizontal';
275;G27;;G27;
277;131z1;;131z1;
282;G46;;G46;
286;87z32 , 88z16:;87z32 , 88z16: to approach;87z32, 88z16:;87z32 , 88z16: mendekat
304;"G25 ; G53: shortly after";;"G25; G53: tak lama setelahnya";"G25 ; G53: tak lama setelahnya"
305;§ 52c;;§ 52c;
311;105z20;;105z20;
315;47z20ff;;47z20ff;
332;128z15:;128z15: kapaharudúˀui;128z15:;128z15: kapaharudúˀui
333;86z29:;86z29: gathering;86z29:;86z29: pertemuan
343;90z20;;90z20;
346;112z24:;112z24: capture;112z24:;112z24: menangkap
353;§ 26b;;§ 26b;
362;131z30;;131z30;
363;G69;;G69;
364;IIIz35;;IIIz35;
366;"H16 ietopo 'from outside' ; Francis ""itofo"" 'outside'";;"H16 ietopo 'dari luar' ; Francis ""itofo"" 'di luar'";
372;12713;;12713;
382;123z26;;123z26;
388;110z17;;110z17;
395;87z24;;87z24;
400;87z24;;87z24;
403;§ 2d;;§ 2d;
409;MOD 179 èuba cahába 'bird net container';;MOD 179 èuba cahába 'wadah jaring burung';
410;H16 kahabaoeba 'single , alone';;H16 kahabaoeba 'tunggal, sendirian';
412;IXz5;;IXz5;
413;88z18;;88z18;
414;"VIz15ff ; MOD:115-119 ; H88:294f";;"VIz15ff ; MOD: 115-119 ; H88: 294f";
416;"MOD 100 èuba chieetébe , table VII on page 101 ; H88:294 èoeba kieètèbè are constructed from thick , closely connected niboeng trunks or trunks of other tree species placed perpendicularly in the ground ; H16 and the like";;"MOD 100 èuba chieetébe, tabel VII di halaman 101; H88:294 èoeba kieètèbè dibuat dari batang niboeng yang tebal dan saling berhubungan erat atau batang pohon lain yang diletakkan tegak lurus di dalam tanah; H16 dan sejenisnya";"MOD 100 èuba chieetébe, tabel VII di halaman 101 ; H88:294 èoeba kieètèbè dibuat dari batang niboeng yang tebal dan saling berhubungan erat atau batang pohon lain yang diletakkan tegak lurus di dalam tanah; H16 dan sejenisnya"
419;15z38;;15z38;
422;112z13;;112z13;
423;112z14: eahubei;;112z14: eahubei;
425;86z5;;86z5;
