ID	example_id	stem_id	example_form	ex_DE	ex_EN	ex_form_IDN	ex_form_IDN_edited
1	10_1683773149_0	10_1683773149	kikobu	rösten , braten	roast , fry	panggang, goreng	
2	10_1683773886_0	10_1683773886	kikode	auf der Schulter tragen	carry on the shoulder	membawa di bahu	membawa di bahu; memikul
3	10_1683773886_1	10_1683773886	dakubode	sie tragen auf der Schulter	they carry on the shoulder	yang mereka bawa di bahu	
4	10_1683773886_2	10_1683773886	ʔobukodeaʔa	tragtǃ	carry! (pl)	bawa! (pl)	bawa! (jamak); pikul! (jamak)
5	10_1683773886_3	10_1683773886	kidikode	getragen werden	to be carried	untuk dibawa	
6	10_1683773886_4	10_1683773886	eadode	(noun) Tragen	carrying (noun)	membawa (kata benda)	
7	10_1683773886_5	10_1683773886	ekodea	Tragstange (Joch?)	carrying rod (yoke?)	tongkat pembawa (kuk?)	tongkat/batang penopang (kuk?)
8	10_1683773886_6	10_1683773886	edikode	(noun) Getragene	carried (things) (noun)	membawa (benda) (kata benda) (kata benda)	barang bawaan
9	10_1683773886_7	10_1683773886	eokode	Tragemittel	means of carrying	sarana untuk membawa	
10	10_1683775703_0	10_1683775703	kipakodíʔa:o	tauschen	to exchange	untuk bertukar	bertukar/menukar
11	10_1683776956_0	10_1683776956	kikodo	(ver)schlucken	to swallow	untuk menelan	menelan
12	10_1683776956_1	10_1683776956	kadodo	etwas schlucken	swallow something	menelan sesuatu	menelan sesuatu
13	10_1683776956_2	10_1683776956	hoo bukodo	schluckte	swallowed	ditelan	ditelan
14	10_1683776956_3	10_1683776956	ʔuadodo (iʔioo) uʔubéʔe	ich schlucke Arznei	I swallow medicine	Aku menelan obat	Aku minum (lit. menelan) obat
15	10_1683776956_4	10_1683776956	kabadodo	etwas verschlucken	to swallow something	untuk menelan sesuatu	menelan sesuatu
16	10_1683776956_5	10_1683776956	ekodoho	(noun) zu Schluckende	(things) to be swallowed (noun)	(benda) yang ditelan (kata benda)	(benda) yang ditelan (kata benda)
17	10_1683776956_6	10_1683776956	ekodəa	(noun) Schlucken , Verschluckensort	swallowing (noun) , place of swallowing	menelan (kata benda) , tempat menelan	(proses) menelan/penelanan , tempat menelan
18	10_1683776956_7	10_1683776956	eabadodo	das (Ver)Schlucken	the (swallowing)	itu (menelan)	penelanan
19	10_1683776956_8	10_1683776956	edikodo	(noun) Verschluckte	swallowed (things) (noun)	menelan (benda) (kata benda) (nomina)	(benda) yang ditelan (kata benda)
20	10_1683777395_0	10_1683777395	kikodóki	sie verwendet als Schurz (trockene Bananenblätter)	she used as an apron (dry banana leaves)	yang digunakannya sebagai celemek (daun pisang kering)	Dia menggunakannya sebagai celemek (daun pisang kering)
21	10_1683777395_1	10_1683777395	eʔokodo	Frauenschurz (aus Glasperlen)	Woman's apron (made of glass beads)	Celemek wanita (terbuat dari manik-manik kaca)	
22	10_1683777395_2	10_1683777395	kaʔokodo	solch einen Schurz tragen	to wear such an apron	untuk memakai celemek seperti itu	memakai celemek seperti itu
23	10_1683777605_0	10_1683777605	ʔakodu; ʔakoru; ʔakolu	drei	three	tiga	
24	10_1683777741_0	10_1683777741	kamũkõʔẽ	sie legt etwas über etwas	she puts something on top of something	dia meletakkan sesuatu di atas sesuatu	
25	10_1683778683_0	10_1683778683	ekoʔee-ekoʔeʔe	sämtliche Teufel	all devils	semua setan	
26	10_1683778683_1	10_1683778683	ekoʔeʔe iakapita	Dämon an der Flußmündung	Demon at the mouth of the river	Iblis di muara sungai	
27	10_1683778683_2	10_1683778683	ekoʔeʔe ixoo ukue	Walddämon	Forest demon	Setan hutan	
28	10_1683778683_3	10_1683778683	ekoʔeʔe ukaʔudara	Dorfdämon	Village demon	Setan desa	
29	10_1683778683_4	10_1683778683	ekoʔeʔe iʔoki	Dämon an der Küste	demon on the shore	setan di pantai	
30	10_1683778804_0	10_1683778804	kipakoéhe-koehe	hocken	to crouch	untuk berjongkok	berjongkok
31	10_1683778804_1	10_1683778804	epahakokoehea	Hockensort	place of crouching	tempat berjongkok	tempat jongkok
32	10_1684029426_0	10_1684029426	kipakõhãʔã:õ	auf etwas stoßen , antreffen	to come across something	untuk menemukan sesuatu	menemukan sesuatu
33	10_1684029605_0	10_1684029605	kipakohe	(Männer mit Haumesser oder Speer) tanzen	(men with cleavers or spears) dance	tarian (pria dengan golok atau tombak)	
34	10_1684204920_0	10_1684204920	kikohe	hobeln	to plane	ke pesawat	menarah/meratakan
35	10_1684204920_1	10_1684204920	hoo bukohe	hobelte bereits	already planed	sudah direncanakan	sudah ditarah/diratakan
36	10_1684204920_10	10_1684204920	earohe	das Hobeln	the planing	perencanaan	penarahan/perataan
37	10_1684204920_2	10_1684204920	kikohea	wird hobeln	will plane	akan pesawat	akan menarah/meratakan
38	10_1684204920_3	10_1684204920	kidikohe	wird gehobelt	is/will be planed	sedang/akan direncanakan	sedang/akan ditarah/diratakan
39	10_1684204920_4	10_1684204920	kadohe u-	etwas hobeln	to plane something	untuk pesawat sesuatu	menarah/meratakan sesuatu
40	10_1684204920_5	10_1684204920	kikohéaʔa	etwas mit etwas hobeln	to plane something with something	untuk merencanakan sesuatu dengan sesuatu	menarah/meratakan sesuatu dengan sesuatu (alat)
41	10_1684204920_6	10_1684204920	eokohe	Hobel	Plane	Pesawat	penarahan/perataan
42	10_1684204920_7	10_1684204920	edikohe	(noun) Gehobelte	(thing) planed (noun)	(benda) yang direncanakan (kata benda)	(benda) yang ditarah/diratakan (kata benda)
43	10_1684204920_8	10_1684204920	edikohéaʔa	das , womit gehobelt wird	that with which is planed	yang dengan yang direncanakan	(benda) itu, yang digunakan untuk menarah/meratakan (alat menarah/meratakan)
44	10_1684204920_9	10_1684204920	eadohea	Hobelnsort	place of planing	tempat perencanaan	tempat menarah/meratakan
45	10_1684205147_0	10_1684205147	ʔua kikohéa	ich gleite ab/aus (wie der ekãmãã-Fisch)	I slide off (like the ekãmãã fish)	Saya meluncur (seperti ikan ekãmãã)	
46	10_1684206125_0	10_1684206125	kikõhẽãʔã́ho:i	beschützen	to protect	untuk melindungi	melindungi
