ID;stem_IDN2;stem_EN;stem_DE;stem_form;stem_id;kms_Alphabet;kms_page;kms_entry_no
1;memperkenalkan kalimat objek;introduces object sentences;leitet Objektssätze ein;a-;11_1685428252;a;1;1
2;"jika , jika ; untuk , karena";"if , if ; for , because";"wenn, falls; denn, weil";a-;11_1685428330;a;1;2
3;Awalan yang memperluas batang kata;Prefix that expands word stems;Präfix, das Wortstämme erweitert;[ʔ]a-;11_1685428509;a;1;3
4;menunjukkan masa depan dalam kata kerja;indicates future in verbs;kennzeichnet Zukunft bei Verben;-[C]a;11_1685429142;a;1;4
6;Haloǃ Heiǃ (panggilan);Helloǃ Heǃ (call);Halloǃ Heǃ (Anruf);ʔaa;11_1685429642;a;1;6
8;pergiǃ;goǃ;gehǃ;aʔa;11_1685430716;a;2;1
9;mereka - berhubungan dengan Orang Ketiga Tunggal atau Jamak;those - correlative to the 3rd Person Singular or Plural;jene(r/s) - korrelat zur 3.P;éaʔa;11_1685430762;a;2;2
10;menandai variasi kompleks dalam kata kerja;marks the complex variation in verbs;kennzeichnet die komplexe Variation bei Verben;-aʔa;11_1685430833;a;2;3
11;Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak;Suffix on verbal stems that marks the request to the 2nd Person Plural;Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet;-aʔa;11_1685430954;a;2;4
17;beberapa, begitu banyak;some , so many;einige(s), soviele;ʔaʔanõ;11_1685431789;a;2;10
18;Jenis rumput;Grass type;Grasart;eaba;11_1685431862;a;2;11
19;Sinar;Ray(s);Rochen;eʔabaʔa:ua;11_1685431896;a;2;12
20;"(""ada yang mengikuti [lagi] yang lain"") = sembilan";"(""there follows [yet] another"") = nine";"(""es kommt [noch] eines"" =) neun";aba:i kaha:iʔi;11_1685432004;a;2;13
21;Iblis yang menculik anak kecil;Demon who kidnaps young children;Dämon, der kleine Kinder entführt;eʔabakoko;11_1685432114;a;2;14
22;jika;if;wenn, falls;abe;11_1685497746;a;3;1
23;bambu;bamboo;Bambus;e[ʔ]abeha;11_1685497982;a;3;2
24;"menjadi lengkap, siap, selesai, selesai; menyendiri";"to be complete , ready , completed , over ; to be alone";"fertig, bereit, beendet, vorbei sein; alleine sein";abə́ha;11_1685498127;a;3;3
25;tersedia, hadir;to be available , present;vorhanden, anwesend sein;abia;11_1685498175;a;3;4
26;Liana, tanaman panjat (sulur);Liana , climbing plant (tendril);Liane, Rankpflanze;eabiabi;11_1685498307;a;3;5
27;Spesies pohon;Tree species;Baumart;eabixu;11_1685498345;a;3;6
28;Tongkat apung yang terpasang pada jaring lempar;Floating sticks attached to the throw net;Schwimmhölzchen am Wurfnetz;eabo;11_1685498402;a;3;7
29;jenis pisang;type of banana;Bananenart;eʔabóʔo:i;11_1685498469;a;3;8
31;taman semi-tua;semi-old garden;halbalter Garten;eabúa;11_1685498603;a;3;10
35;anak;child;Kind;eada;11_1685499427;a;4;2
36;sebesar;as big as;so groß wie;ádaʔa;11_1685499498;a;4;3
37;pakis;fern;Farn;eadada:əʔa;11_1685499544;a;4;4
38;Spesies belalang;Grasshopper species;Heuschreckenart;eʔadeʔade;11_1685499594;a;4;5
40;Spesies burung;Bird species;Vogelart;eadepa;11_1685499674;a;4;7
41;Jenis bambu;Bamboo type;Bambusart;eʔadəái;11_1685499761;a;4;8
43;Bagaimana?;How?;wie beschaffen?;adə́ha[pe];11_1685499983;a;4;10
45;lima;five;fünf;ʔadiba;11_1685500363;a;5;1
46;Spesies pohon;Tree species;Baumart;eadipo;11_1685500387;a;5;2
47;Anda (nominatif) , Anda (datif , akusatif);You (nom) , You (dat , acc);ihr, euch (2.Pl);adiu;11_1685500516;a;5;3
49;mengapa? seolah-olah;why? as if;wieso?, als ob;adoo;11_1685500803;a;5;5
51;Nama perempuan;Female name;Frauenname;Adoha:eʔekoa;11_1685500972;a;5;7
53;tangkai buah;fruit stalk;Fruchtstiel;eadóua;11_1685501080;a;5;9
55;dua;two;zwei;ʔadua;11_1685501206;a;5;11
56;Nama laki-laki;Male name;Männername;Adudui;11_1685501234;a;5;12
58;Pembukaan lahan di hutan, area berumput;Clearing in the forest , grassy area;Lichtung im Wald, Grasfläche;eʔaduku;11_1685501343;a;5;14
59;"Kaki, cakar; Tubuh bagian bawah; juga Kaki (duri) perisai untuk menancapkan ke tanah";"Foot , paw ; Lower body ; also Foot (thorn) of a shield for hammering into the ground";"Fuß, Pfote; Unterkörper; auch: Fuß(dorn) eines Schildes zum Einstemmen in die Erde";eae;9_1685498445;a;6;1
61;muara/ muara sungai;mouth/estuary of a river;Mündung eines Flusses;eáea;9_1685498686;a;6;3
65;Jembatan karang;Coral bridge;Korallen-Brücke;eahá:éda;9_1685499642;a;6;7
67;siapa pun , seseorang , semua orang (bentuk tunggal);whoever , someone , everyone (singular);wer auch immer, irgendjemand, jeder (Sg);ahãĩ;9_1685499785;a;6;9
69;burung beo hijau;green parrot;grūner Papagei;eʔahã́ĩ;9_1685500195;a;7;2
70;Manusia, orang;Man , people;Mensch, Leute;eaha:iʔ[i]éda;9_1685500349;a;7;3
